layout.about_qor,"<p>QOR is Open Source software brought to you by <a href=""https://theplant.jp/"">The Plant</a> under an MIT license.</p><p>The name “QOR” is a trademark of The Plant and <a href=""https://theplant.jp/"">subject to trademark restrictions</a>.</p>","<p>Qor 是公开的开源项目，在 MIT 许可下发布。通过 <a href=""https://theplant.jp/"">The Plant</a> 呈现给你</p><p> “QOR” 是 The Plant 的商标<a href=""https://theplant.jp/"">受商标权的限制</a>.</p>"
layout.connect,CONNECT,联系我们
layout.footer_link.about_us,About Us,关于我们
layout.footer_link.blog,Blog,博客
layout.footer_link.faq,FAQs,常见问题解答
layout.footer_link.press,Press,新闻
layout.footer_link.privacy_policy,Privacy Policy,隐私政策
layout.footer_link.shipping,Shipping,配送
layout.footer_link.size_guide,Size Guide,尺寸指南
layout.footer_link.terms_of_use,Terms of Use,使用条款
layout.header_link.accessories,ACCESSORIES,配件
layout.header_link.apparel,APPAREL,衣服
layout.header_link.cart,CART,购物车
layout.header_link.credit_ballance,Credit,
layout.header_link.help,HELP,帮助
layout.header_link.logout,Logout,登出
layout.header_link.my_account,MY ACCOUNT,我的账户
layout.header_link.register,REGISTER,
layout.header_link.sign_in,SIGN IN,登入
layout.header_link.stationery,STATIONERY,文具
layout.support_and_info,SUPPORT & INFO,支持 & 信息
login.button,Login,登录
login.email,Email:,邮箱地址:
login.forget_password,Forget Password,忘记密码
login.password,Password:,密码:
login.register,Register,注册
login.remember_me,Remember,记住密码
media_libraries.actions.Delete,Delete,
media_libraries.name.plural,Media Libraries,
my_seo_settings.default_metas.description,Here you can set site-wide variables and preferences for metadata.,
my_seo_settings.default_metas.title,Site-wide Settings,
my_seo_settings.description,Meta Description,
my_seo_settings.keywords,Meta Keywords,
my_seo_settings.name.plural,My SEO Settings,
my_seo_settings.page_metas.description,"These defaults are for pages automatically generated by the system, you can override them on the individual pages.",
my_seo_settings.page_metas.title,Page Metadata Defaults,
my_seo_settings.title,HTML Title,
orders.actions.Cancel,Cancel,
orders.actions.Delete,Delete,
orders.actions.Processing,Processing,
orders.attributes.Cancelled At,Cancelled At,
orders.attributes.Payment Amount,Payment Amount,
orders.attributes.Shipped At,Shipped At,
orders.attributes.Shipping Address,Shipping Address,
orders.attributes.State,State,
orders.attributes.User,User,
pages.name.plural,Pages,
pages.tables.no_items,No pages to show.,
product.add_to_cart,ADD TO CART,添加到购物车
product.add_to_wishlist,TO WISHLIST,添加到购物列表
product.also_bought,WHAT OTHER PEOPLE BOUGHT,用户还买了什么
product.also_bought_note,"People who bought this products, also bought the following products","买过这件产品的用户, 还购买了以下产品"
product.color,COLOR:,颜色:
product.description,DESCRIPTION:,描述:
product.framistan,Framistan:,Framistan:
product.made_in,Made in:,制作地:
product.materials,Materials:,材料:
product.quantity,QTY:,数量:
product.recommendations,RECOMMENDATIONS,推荐
product.recommendations_note,Products you might also like based on other products you viewed,你可能还会喜欢下面的产品
product.share,SHARE:,分享:
product.size,SIZE:,尺寸:
product.size_guide,Size Guide,尺寸表
product.specs,SPECS:,规格:
products.actions.Create New Version,Create New Version,
products.actions.Delete,Delete,
products.actions.Localize,Localize,
products.actions.View On Site,View On Site,
products.filter.Collections,Collections,
products.name.plural,Products,
products.scopes.Gender,Gender,
products.scopes.Gender.Kids,Kids,
products.scopes.Gender.Men,Men,
products.scopes.Gender.Women,Women,
qor_action_bar.action.Admin Dashboard,Admin Dashboard,
qor_action_bar.action.Edit SEO,Edit SEO,
qor_action_bar.action.edit,EDIT,
qor_action_bar.action.logged_as,Logged in as {{.DisplayName}},
qor_action_bar.action.logout,LOGOUT,
qor_action_bar.action.preview,PREVIEW,
qor_admin.account.logout,logout,
qor_admin.actions.bulk_edit,Bulk Edit,
qor_admin.actions.exit_bulk_edit,Exit Bulk Edit,
qor_admin.actions.localized,,Localized
qor_admin.actions.not_localized,,Not Localized
qor_admin.actions.please_select_an_item,Please select an item,
qor_admin.actions.query_mode,,Query Mode
qor_admin.actions.search_bar_search,Search,
qor_admin.actions.sorting_mode,Sorting Mode,
qor_admin.form.are_you_sure,Are You Sure?,
qor_admin.form.done,Done,
qor_admin.form.index.title,{{$1}},
qor_admin.form.new.title,,Add {{$1}}
qor_admin.form.save_changes,Save Changes,
qor_admin.layout.header.actions,Actions,
qor_admin.layout.logo,"<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>",
qor_admin.layout.powered_by,"Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>",
qor_admin.layout.skip_to_content,Skip to content,
qor_admin.layout.title,Admin,
qor_admin.menus.Abandoned Orders,Abandoned Orders,
qor_admin.menus.Articles,Articles,
qor_admin.menus.Blog Management,Blog Management,
qor_admin.menus.Categories,Categories,
qor_admin.menus.Collections,Collections,
qor_admin.menus.Colors,Colors,
qor_admin.menus.Dashboard,Dashboard,
qor_admin.menus.Events,Events,
qor_admin.menus.Materials,Materials,
qor_admin.menus.Media Libraries,Media Libraries,
qor_admin.menus.Order Management,Order Management,
qor_admin.menus.Orders,Orders,
qor_admin.menus.PageBuilderWidgets,PageBuilderWidgets,
qor_admin.menus.Pages,Pages,
qor_admin.menus.Product Images,Product Images,
qor_admin.menus.Product Management,Product Management,
qor_admin.menus.Products,Products,
qor_admin.menus.Publishing,Publishing,
qor_admin.menus.SEO Setting,SEO Setting,
qor_admin.menus.Schedules,Schedules,
qor_admin.menus.Shop Setting,Shop Setting,
qor_admin.menus.Site Management,Site Management,
qor_admin.menus.Sizes,Sizes,
qor_admin.menus.Store Management,Store Management,
qor_admin.menus.Stores,Stores,
qor_admin.menus.Translations,Translations,
qor_admin.menus.User Management,User Management,
qor_admin.menus.Users,Users,
qor_admin.menus.Widget Contents,Widget Contents,
qor_admin.menus.Workers,Workers,
qor_admin.pagination.100_entries,100 Entries per page,
qor_admin.pagination.20_entries,20 Entries per page,
qor_admin.pagination.50_entries,50 Entries per page,
qor_admin.pagination.last,,Last Page
qor_admin.pagination.next,,Next Page
qor_admin.pagination.page_num,,Page {{.Pages}}
qor_admin.pagination.show_all,Show All Entries,
qor_admin.publish.button.versions,VERSIONS,
qor_admin.publish.hint.this_version_is_live,This version is live,
qor_admin.publish.hint.view_all_versions_to_see_which_is_live,View all versions to see which is live,
qor_admin.search_center.hint,Search…,
qor_admin.search_center.title,Search Center,
qor_i18n.actions.export_translations,Export Translations,
qor_i18n.actions.import_translations,Import Translations,
qor_i18n.form.cancel_edit,Cancel Edit,
qor_i18n.form.copy,Copy,
qor_i18n.form.save,Save,
qor_i18n.form.saved,Saved,
qor_i18n.form.source,Source,
qor_i18n.form.target,Target,
qor_i18n.form.translation_title,Translation,
qor_publish.action_bar.include_content_that_not_publish_ready,Include content that is not Publish-ready,
qor_publish.action_bar.time_travel,Time Travel,
qor_publish.action_bar.title.filter_by,TIME TRAVEL/PUBLISH STATE…,
qor_publish.schedule.custom,Custom,
qor_publish.schedule.schedule_time,Schedule Time,
qor_publish.schedule.scheduled_publishing,All Scheduled Publishing,
qor_publish.schedule.this_month,This Month,
qor_publish.schedule.this_week,This Week,
qor_publish.schedule.today,Today,
qor_seo.Category Page.title,Category Page,
qor_seo.Default Page.title,Default Page,
qor_seo.Product Page.title,Product Page,
qor_seo.alert.meta_updated_failed,Oops! something is wrong! Please try it again.,
qor_seo.alert.meta_updated_successfully,Meta data updated successful!,
qor_seo.use_default,Use Defaults,
qor_widget.form.edit,Edit Widget,
qor_worker.actions.back_to_lists,,Back To Lists
qor_worker.filter.all,All Jobs,
qor_worker.filter.done,Done,
qor_worker.filter.errors,Errors,
qor_worker.filter.running,Running,
qor_worker.filter.scheduled,Scheduled,
qor_worker.form.successfully_created,,{{.Name}} was successfully created
qor_worker.job_groups.Export/Import Translations From CSV file,,Export/Import Translations From CSV file
qor_worker.jobs.Export Translations,,Export Translations
recover.button,Recover,重置
recover.confirm_email,Email Confirmation:,确认邮箱地址:
recover.email,Email:,邮箱地址:
recover_complete.button,Recover,重置
recover_complete.confirm_new_password,New Password Confirmation:,确认新密码:
recover_complete.new_password,New Password:,新密码:
register.button,Register,注册
register.confirm_password,Confirm Password,确认密码
register.email,Email:,邮箱地址:
register.name,Name:,名称
register.password,Password:,密码:
scheduled_events.attributes.Scheduled End At.placeholder,Scheduled End At,
scheduled_events.attributes.Scheduled Start At.placeholder,Scheduled Start At,
seo_global_settings.attributes.Site Name,Site Name,
translations.name.plural,Translations,
workers.attributes.Created At,Created At,
workers.attributes.ID,ID,
workers.attributes.Name,Name,
workers.attributes.Status,Status,
workers.name,,Worker
workers.name.plural,Workers,
zh-CN,zh-CN,
